epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,1.1817958246715485,0.5849735449735449,0.8132014991030281,0.7266666666666667,218.13812351226807
2,0.8868040670667375,0.688941798941799,0.5928358388830114,0.7903703703703704,96.91931414604187
3,0.7733639753054059,0.7324338624338624,0.5931175523223701,0.7955555555555556,114.80038642883301
4,0.7184052495855503,0.756031746031746,0.5069016623690172,0.8249382716049383,101.067129611969
5,0.6481015909285772,0.7826455026455027,0.4732349730991287,0.8345679012345679,96.34086465835571
6,0.60544487058801,0.7955026455026455,0.6169211059404008,0.7916049382716049,87.79420876502991
7,0.5598956381959259,0.813068783068783,0.426898722961361,0.8607407407407407,89.59490036964417
8,0.5338969317819706,0.8189947089947089,0.3758984495846578,0.8703703703703703,87.19871759414673
9,0.4911980932351773,0.8346031746031746,0.37415949922284963,0.8748148148148148,87.14152145385742
10,0.46640484390750764,0.8476190476190476,0.3383599557957532,0.8837037037037037,88.51230692863464
11,0.4276166283201288,0.8576719576719577,0.4061943639980422,0.8506172839506173,87.79881072044373
12,0.4149312409458968,0.8641798941798942,0.29055092494796825,0.908641975308642,88.64727926254272
13,0.3788018756001084,0.8744973544973546,0.33596780110078717,0.8891358024691358,88.71253681182861
14,0.3526778799863089,0.8831746031746032,0.25122354089845844,0.9187654320987654,87.04337811470032
15,0.34931994090004576,0.8841269841269841,0.32971316217410346,0.8881481481481481,85.39737486839294
