epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,0.6184673392709601,0.813968253968254,0.3222756826509664,0.8992592592592593,1088.0539345741272
2,0.35550399854069664,0.8856613756613757,0.2678413420032572,0.9096296296296297,1047.1741075515747
3,0.32077037029796174,0.8916931216931216,0.24898986220819713,0.9145679012345679,822.2395830154419
4,0.30666154120334244,0.8947619047619048,0.22316946919133634,0.9254320987654321,594.6740171909332
5,0.2831150029386793,0.9041269841269841,0.22136563080328484,0.9202469135802469,571.5065751075745
6,0.28278441058264836,0.9013756613756614,0.2132294506607232,0.9288888888888889,569.3925106525421
7,0.2714451328282634,0.9074603174603174,0.2196620143931589,0.9261728395061728,575.9979703426361
8,0.2664188834599086,0.9102116402116402,0.21432967486204924,0.9256790123456791,574.6706545352936
9,0.2622345666216795,0.9101587301587302,0.215867408208641,0.9241975308641975,573.9359307289124
10,0.2687493399274412,0.9063492063492063,0.22354452753600515,0.9254320987654321,569.9177968502045
11,0.25917745705634826,0.9116931216931217,0.21075646676215123,0.9291358024691359,565.9431953430176
12,0.25960783052381387,0.9121693121693122,0.20690819548419964,0.9288888888888889,568.1508469581604
13,0.2616603185938149,0.9088359788359789,0.20899753653064923,0.9301234567901234,567.4761919975281
14,0.24939967450010714,0.9142328042328043,0.18906896724285166,0.9385185185185185,570.3945047855377
15,0.2580415055865333,0.911005291005291,0.19954018607988586,0.9335802469135802,613.4843239784241
