epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,0.18986094906492523,0.9375132275132275,0.12025250498199674,0.9597530864197531,84.89614510536194
2,0.13705902097086428,0.953015873015873,0.09705838328820975,0.9661728395061728,84.71792650222778
3,0.1108993695684211,0.9622222222222222,0.08196062003728002,0.9701234567901235,82.4980137348175
4,0.09143015406059998,0.9685185185185186,0.07076287545674814,0.9762962962962963,81.89352822303772
5,0.08440478407398418,0.9723280423280424,0.07897683367821572,0.9755555555555555,84.15557408332825
6,0.06921370206568292,0.9754497354497355,0.06544236366484706,0.9782716049382716,84.75710415840149
7,0.06453719326684242,0.9778835978835979,0.06275697773836271,0.9795061728395061,86.10276007652283
8,0.055754932474601206,0.9808465608465609,0.054329512475100115,0.9817283950617284,82.02163648605347
9,0.05356544929586114,0.9817460317460317,0.05696885089649399,0.9812345679012345,84.51898455619812
10,0.04761488177867793,0.9842857142857143,0.05706956257629546,0.9817283950617284,82.71186089515686
